Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,_EVT_mean,_EVT_media,_EVT_major,LF20_EVT_2,LF20_EVT_1,LF20_EVT_3,LF20_EVT_4,LF20_EVT_5,LF20_EVT_6,LF20_EVT_7,LF20_EVT_8,LF20_EVT_9,LF20_EVT10,LF20_EVT11,LF20_EVT12,LF20_EVT13,LF20_EVT14,LF20_EVT15,LF20_EVT16,LF20_EVT17,LF20_EVT18,dist_pole,x,y
CO4001510539719890709,,SUNNYSIDE,Wildfire,"6772",MTBS,Extended,"1416","40.015","-105.397",1989/07/09,"503403219870809","503403219900902",,"-31","-9999","-970","-150","160","300","500",,7517.782109731174387,7107.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.007680670209941,-105.3903881418,40.0094399402
CO3947210747719890925,,CENTER MTN,Wildfire,"6659",MTBS,Extended,"1226","39.472","-107.477",1989/09/25,"503503319880903","503503319900909",,"26","-9999","-970","-150","110","260","375",89/281 img provides best perim but not used b/c img too late in yr to gen good d,7134.209648168299282,7107.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.007034279599252,-107.4751684627,39.4705738585
NM3690210483819900630,,MINE,Wildfire,"7150",MTBS,Extended,"2553","36.902","-104.838",1990/06/30,"503303419890722","503303419910626",,"-1","-9999","-970","-150","170","330","550",,7090.006446554578361,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.009552182953174,-104.8583897773,36.8939532371
NM3589710584019930615,,FRIJOLES,Wildfire,"8039",MTBS,Extended,"2322","35.897","-105.840",1993/06/15,"503303519920511","503303519940704","503303519930701","12","-9999","-970","-150","70","234","440",,7055.720206757921005,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.011707460192411,-105.8424625272,35.8976888630
NM3594910579319930615,,QUEMADO,Wildfire,"8040",MTBS,Extended,"2978","35.949","-105.793",1993/06/15,"503303519920511","503303519940704","503303519930701","-9","-9999","-970","-150","60","230","440",Clouds in post image covering some of the fire.,7060.761983100276666,7052.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.011692360899527,-105.7897971663,35.9642756580
WY4192310522919940630,,SQUAW MTN.,Wildfire,"8363",MTBS,Extended,"4093","41.923","-105.229",1994/06/30,"503403119930809","503403119950815","503403119940711","-46","-9999","-970","-150","100","250","450",,7369.258651599934637,7141.000000000000000,7141.000000000000000,Northwestern Great Plains Mixedgrass Prairie,"7141","2141",He Northwestern Great Plains Mixedgrass Prairie,Herb,Grassland,"646",Mixedgrass Prairie,SRM 606: Wheatgrass-Bluestem-Needlegrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","176","92","1.000000","0.690196","0.360784",0.015446918682424,-105.2252920850,41.9225000326
CO3957610740619940703,,SO. CANYON,Wildfire,"8256",MTBS,Initial,"2014","39.576","-107.406",1994/07/03,"503503319930816","503503319940803",,"-6","-9999","-970","-150","150","350","600",,7493.382797835927704,7107.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.011041462150752,-107.4119934869,39.5779237108
CO3886410767219940704,,WAKE,Wildfire,"8257",MTBS,Initial,"3834","38.864","-107.672",1994/07/04,"503503319930816","503503319940803",,"34","-9999","-970","-150","150","350","600",,7303.031807647740607,7080.000000000000000,7080.000000000000000,Inter-Mountain Basins Big Sagebrush Shrubland,"7080","2080",Sh Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,Shrubland,"604",Big Sagebrush Shrubland and Steppe,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Evergreen shrubland,"130","101","72","0.509804","0.396078","0.282353",0.011995914561544,-107.6775046900,38.8660453243
CO3996710746719940712,,UTE CREEK,Wildfire,"8426",MTBS,Extended,"3225","39.967","-107.467",1994/07/12,"503503219930715","503503219950806",,"55","-9999","-970","-150","75","295","550",,7459.289564378274008,7055.000000000000000,7055.000000000000000,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,"7055","2055",Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,Conifer,"639",Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,"236","252","204","0.925490","0.988235","0.800000",0.014451864749995,-107.4696317792,39.9714998371
CO3713410798219940713,,UNNAMED,Wildfire,"8388",MTBS,Initial,"13234","37.134","-107.982",1994/07/13,"503503419940616","503503419950705",,"-32","-9999","-970","-150","20","218","445",,7253.401089661666447,7107.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.019438069765192,-107.9967425762,37.1464406682
NM3700010700119951015,,BLACK HORSE,Wildfire,"10004073",MTBS,Extended,"1855","37.101","-107.434",1995/10/15,"503503419940803","503403419960801","503403419951103","44","26","-970","-150","150","330","480",,7098.091432685385371,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.012203586403221,-107.4380801795,37.0969128642
NM3576910637819960425,,DOME,Wildfire,"9422",MTBS,Extended,"15777","35.769","-106.378",1996/04/25,"503303519950723","503303519970914",,"-17","-9999","-970","-150","60","289","550",,7221.555931295881237,7086.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.031851461371785,-106.3839965897,35.7694023520
NM3695410437619960427,,SUGARITE,Wildfire,"9553",MTBS,Extended,"1530","36.954","-104.376",1996/04/27,"503203419960225","503203419970331","503203419960531","78","-9999","-970","-150","200","342","550",Perimeter difficult to delineate.,7664.452657566075686,7145.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.007456406602824,-104.3866473090,36.9538588236
NM3664910559119960505,,HONDO,Wildfire,"10006403",MTBS,Extended,"8258","36.642","-105.594",1996/05/05,"503303519950707","503303519970712","503303519960623","19","36","-970","-150","80","206","380",,7227.164404223227393,7086.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.019061267119117,-105.5837488868,36.6587655326
NM3640310496719960506,,UNNAMED,Unknown,"9683",MTBS,Initial,"1979","36.403","-104.967",1996/05/06,"503303519951011","503303519960522",,"-35","-9999","-970","-150","75","282","525",,7095.898023360287880,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.007497635309501,-104.9559607410,36.4068411976
NM3658010480919960506,,UNNAMED,Unknown,"9685",MTBS,Initial,"1424","36.580","-104.809",1996/05/06,"503303519940704","503303519960522",,"64","-9999","-970","-150","190","610","9999",,7162.523363025472463,7149.000000000000000,7149.000000000000000,Western Great Plains Shortgrass Prairie,"7149","2149",He Western Great Plains Shortgrass Prairie,Herb,Grassland,"648",Shortgrass Prairie,SRM 611: Blue Grama-Buffalograss,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,"255","142","66","1.000000","0.556863","0.258824",0.006329525404110,-104.8049511981,36.5777428669
CO3937210525219960518,,BUFFALO CREEK,Wildfire,"10007320",MTBS,Extended,"11690","39.377","-105.255",1996/05/18,"503403319950815","503403319970820","503303319960607","23","41","-970","-150","120","275","480",,7204.178784130910572,7086.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.016119336659830,-105.2603956289,39.3694338299
CO3734910789619960605,,UNNAMED,Unknown,"9693",MTBS,Initial,"1843","37.349","-107.896",1996/06/05,"503503419950705","503503419960605",,"20","-9999","-970","-150","50","283","545",,7109.109200968522600,7054.000000000000000,7054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,"7054","2054",Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"631","Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,"214","255","181","0.839216","1.000000","0.709804",0.010719274995732,-107.8913642909,37.3493676458
NM3699810700819960610,,ARCHULETA,Wildfire,"9221",MTBS,Extended,"15613","36.998","-107.008",1996/06/10,"503403419950628","503403419970703","503403419960801","34","-9999","-970","-150","200","261","400",,7377.889430130040637,7107.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.027564084737884,-107.0183568629,37.0016954968
CO3779910856319960720,,DISAPPOINTMENT,Wildfire,"9409",MTBS,Extended,"3642","37.799","-108.563",1996/07/20,"503503419960605","503503419970624",,"-15","-9999","-970","-150","40","196","390",,7159.408071202145948,7107.000000000000000,7107.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,"7107","2107",Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,"612",Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,"245","175","54","0.960784","0.686275","0.211765",0.010795617829003,-108.5618781606,37.8101571869
